Event,Plant,Microorganism,Influent_raw,Effluent_raw,Influent_used,Effluent_used,Effluent_detected_flag,LRV [log10]
Event 03,BrWo,E. coli,3930000,BDL,3930000.0,1.0,Non-detect,6.594392550375427
Event 03,NoWe,E. coli,9800000,22.8,9800000.0,22.8,Detected,5.633291228692041
Event 04,BiSp,E. coli,71700000,248.1,71700000.0,248.1,Detected,5.460892391395591
Event 04,BrWo,E. coli,26030000,BDL,26030000.0,1.0,Non-detect,7.4154741681092355
Event 04,NoWe,E. coli,19100000,9.8,19100000.0,9.8,Detected,6.289807291555233
Event 05,BiSp,E. coli,14800000,BDL,14800000.0,1.0,Non-detect,7.1702617153949575
Event 05,BrWo,E. coli,2780000,BDL,2780000.0,1.0,Non-detect,6.444044795918076
Event 05,NoWe,E. coli,4550000,42.6,4550000.0,42.6,Detected,5.028601797554393
Event 06,BrWo,E. coli,7120000,BDL,7120000.0,1.0,Non-detect,6.852479993636856
Event 06,NoWe,E. coli,5210000,4.1,5210000.0,4.1,Detected,6.104053866579789
Event 07,BrWo,E. coli,630000,1,630000.0,1.0,Detected,5.799340549453582
Event 07,NoWe,E. coli,5100000,9.8,5100000.0,9.8,Detected,5.716344100405442
Event 08,BiSp,E. coli,20300000,1,20300000.0,1.0,Detected,7.307496037913213
Event 08,BrWo,E. coli,4620000,BDL,4620000.0,1.0,Non-detect,6.664641975556125
Event 08,NoWe,E. coli,630000,6.3,630000.0,6.3,Detected,5.0
Event 09,BiSp,E. coli,13500000,4.1,13500000.0,4.1,Detected,6.517549911775271
Event 09,BrWo,E. coli,10900000,193.5,10900000.0,193.5,Detected,4.750745528585694
Event 09,NoWe,E. coli,24270000,8.4,24270000.0,8.4,Detected,6.460790490270053
Event 10,BiSp,E. coli,200000,BDL,200000.0,1.0,Non-detect,5.301029995663981
Event 10,BrWo,E. coli,1710000,2,1710000.0,2.0,Detected,5.931966114728173
Event 10,NoWe,E. coli,4100000,8.6,4100000.0,8.6,Detected,5.678285405476168
Event 11,BiSp,E. coli,2750000,BDL,2750000.0,1.0,Non-detect,6.439332693830263
Event 11,BrWo,E. coli,5200000,1,5200000.0,1.0,Detected,6.7160033436347994
Event 11,NoWe,E. coli,9900000,10.9,9900000.0,10.9,Detected,5.958208696656926
Event 12,BiSp,E. coli,53400000,3,53400000.0,3.0,Detected,7.250420002308894
Event 12,BrWo,E. coli,53400000,BDL,53400000.0,1.0,Non-detect,7.727541257028556
Event 12,NoWe,E. coli,950000,48,950000.0,48.0,Detected,4.296482367913261
Event 13,BiSp,E. coli,2780000,BDL,2780000.0,1.0,Non-detect,6.444044795918076
Event 13,BrWo,E. coli,285000000,BDL,285000000.0,1.0,Non-detect,8.45484486000851
Event 13,NoWe,E. coli,494000000,4.1,494000000.0,4.1,Detected,8.080943092203912
Event 14,BiSp,E. coli,649000000,2,649000000.0,2.0,Detected,8.511214701136389
Event 14,BrWo,E. coli,172000000,1,172000000.0,1.0,Detected,8.23552844690755
Event 14,NoWe,E. coli,687000000,3.1,687000000.0,3.1,Detected,8.345595043225277
Event 15,BiSp,E. coli,4000000,1,4000000.0,1.0,Detected,6.6020599913279625
Event 15,BrWo,E. coli,100000,1,100000.0,1.0,Detected,5.0
Event 15,NoWe,E. coli,164000000,12.1,164000000.0,12.1,Detected,7.132058477731248
Event 16,BiSp,E. coli,488000000,12.1,488000000.0,12.1,Detected,7.60563445168626
Event 16,BrWo,E. coli,166000000,1,166000000.0,1.0,Detected,8.220108088040055
Event 16,NoWe,E. coli,173000000,2,173000000.0,2.0,Detected,7.937016107464814
Event 01,NoWe,Fecal coliform,18600000,52.9,18600000.0,52.9,Detected,5.546057272182731
Event 02,BiSp,Fecal coliform,14800000,14.8,14800000.0,14.8,Detected,6.0
Event 02,BrWo,Fecal coliform,6270000,BDL,6270000.0,1.0,Non-detect,6.797267540830717
Event 02,NoWe,Fecal coliform,64400000,74.3,64400000.0,74.3,Detected,5.937897053599237
Event 03,BiSp,Fecal coliform,6200000,2,6200000.0,2.0,Detected,6.491361693834273
Event 03,BrWo,Fecal coliform,6310000,BDL,6310000.0,1.0,Non-detect,6.800029359244134
Event 03,NoWe,Fecal coliform,23300000,648.8,23300000.0,648.8,Detected,4.555245079822919
Event 04,BiSp,Fecal coliform,57600000,110.6,57600000.0,110.6,Detected,5.716667356454533
Event 04,BrWo,Fecal coliform,39680000,BDL,39680000.0,1.0,Non-detect,7.598571663482141
Event 04,NoWe,Fecal coliform,119900000,36.9,119900000.0,36.9,Detected,6.5117928169397885
Event 05,BiSp,Fecal coliform,21600000,BDL,21600000.0,1.0,Non-detect,7.334453751150931
Event 05,BrWo,Fecal coliform,2460000,BDL,2460000.0,1.0,Non-detect,6.390935107103379
Event 05,NoWe,Fecal coliform,5540000,64.5,5540000.0,64.5,Detected,4.933950050093162
Event 06,BrWo,Fecal coliform,6910000,1,6910000.0,1.0,Detected,6.8394780473741985
Event 06,NoWe,Fecal coliform,4650000,36.4,4650000.0,36.4,Detected,5.106351569240898
Event 07,BrWo,Fecal coliform,8500000,2,8500000.0,2.0,Detected,6.628388930050312
Event 07,NoWe,Fecal coliform,6200000,27.5,6200000.0,27.5,Detected,5.3530589956679915
Event 08,BiSp,Fecal coliform,11000000,3.1,11000000.0,3.1,Detected,6.550030991323952
Event 08,BrWo,Fecal coliform,3990000,BDL,3990000.0,1.0,Non-detect,6.600972895686748
Event 08,NoWe,Fecal coliform,200000,325.5,200000.0,325.5,Detected,2.7884790027597703
Event 09,BiSp,Fecal coliform,25900000,6.3,25900000.0,6.3,Detected,6.61395921462767
Event 09,BrWo,Fecal coliform,17900000,238.2,17900000.0,238.2,Detected,4.875911273833134
Event 09,NoWe,Fecal coliform,21100000,17.1,21100000.0,17.1,Detected,6.091286344905539
Event 10,BiSp,Fecal coliform,2000000,BDL,2000000.0,1.0,Non-detect,6.301029995663981
Event 10,BrWo,Fecal coliform,1220000,3.1,1220000.0,3.1,Detected,5.594998136840475
Event 10,NoWe,Fecal coliform,5200000,156.5,5200000.0,156.5,Detected,4.5214890017523315
Event 11,BiSp,Fecal coliform,2620000,1,2620000.0,1.0,Detected,6.418301291319746
Event 11,BrWo,Fecal coliform,17300000,4.1,17300000.0,4.1,Detected,6.62526224640906
Event 11,NoWe,Fecal coliform,11190000,25.6,11190000.0,25.6,Detected,5.6405901212165
Event 12,BiSp,Fecal coliform,333000000,3.1,333000000.0,3.1,Detected,8.031082539672047
Event 12,BrWo,Fecal coliform,333000000,BDL,333000000.0,1.0,Non-detect,8.52244423350632
Event 12,NoWe,Fecal coliform,6310000,9.7,6310000.0,9.7,Detected,5.813257624977889
Event 13,BiSp,Fecal coliform,240000000,BDL,240000000.0,1.0,Non-detect,8.380211241711606
Event 13,BrWo,Fecal coliform,157000000,BDL,157000000.0,1.0,Non-detect,8.195899652409233
Event 13,NoWe,Fecal coliform,1300000000,161,1300000000.0,161.0,Detected,6.907117476274987
Event 14,BiSp,Fecal coliform,866000000,42.6,866000000.0,42.6,Detected,7.3081082929146275
Event 14,BrWo,Fecal coliform,866000000,7.4,866000000.0,7.4,Detected,8.06828617228637
Event 14,NoWe,Fecal coliform,2420000000,45,2420000000.0,45.0,Detected,7.730602852205087
Event 15,BiSp,Fecal coliform,235000000,2,235000000.0,2.0,Detected,8.070037866607755
Event 15,BrWo,Fecal coliform,100000,BDL,100000.0,1.0,Non-detect,5.0
Event 15,NoWe,Fecal coliform,137000000,111,137000000.0,111.0,Detected,6.091397588369749
Event 16,BiSp,Fecal coliform,687000000,47.1,687000000.0,47.1,Detected,7.163935829930654
Event 16,BrWo,Fecal coliform,127000000,1,127000000.0,1.0,Detected,8.103803720955957
Event 16,NoWe,Fecal coliform,222000000,13.1,222000000.0,13.1,Detected,7.229081678794874
Event 01,BiSp,Giardia,3500,42.89,3500.0,42.89,Detected,1.9117119981112025
Event 01,NoWe,Giardia,2400,23.5,2400.0,23.5,Detected,2.0091433794398696
Event 02,BiSp,Giardia,336,52.05,336.0,52.05,Detected,0.8099185435432892
Event 02,BrWo,Giardia,1024,0.1,1024.0,0.1,Detected,4.010299956639812
Event 02,NoWe,Giardia,604,3.13,604.0,3.13,Detected,2.2854926010746834
Event 03,BiSp,Giardia,80,0,80.0,0.1,Non-detect,2.9030899869919438
Event 03,BrWo,Giardia,2620,7.88,2620.0,7.88,Detected,2.5217750738301903
Event 03,NoWe,Giardia,2840,18.68,2840.0,18.68,Detected,2.181941468152963
Event 04,BiSp,Giardia,100,2.77,100.0,2.77,Detected,1.5575202309355514
Event 04,BrWo,Giardia,280,3.06,280.0,3.06,Detected,1.9614366048606393
Event 04,NoWe,Giardia,210,9.33,210.0,9.33,Detected,1.3523376509874194
Event 05,BiSp,Giardia,20,0,20.0,0.1,Non-detect,2.3010299956639813
Event 05,BrWo,Giardia,290,4.3,290.0,4.3,Detected,1.8289295423193697
Event 05,NoWe,Giardia,120,8.31,120.0,8.31,Detected,1.1595802222635139
Event 06,BiSp,Giardia,10310,0.16,10310.0,0.16,Detected,4.809138682627592
Event 06,BrWo,Giardia,1350,2.6,1350.0,2.6,Detected,2.715360420524188
Event 06,NoWe,Giardia,80,3.77,80.0,3.77,Detected,1.3267486367861507
Event 07,BiSp,Giardia,6790,0.01,6790.0,0.01,Detected,5.831869774280502
Event 07,BrWo,Giardia,1140,7.3,1140.0,7.3,Detected,2.193581991216017
Event 07,NoWe,Giardia,50,5.82,50.0,5.82,Detected,0.9340470196861304
Event 08,BiSp,Giardia,2890,4.4,2890.0,4.4,Detected,2.8174451662703603
Event 08,BrWo,Giardia,2850,21.62,2850.0,21.62,Detected,2.119989170391219
Event 08,NoWe,Giardia,370,10.7,370.0,10.7,Detected,1.5388179463817853
Event 09,BiSp,Giardia,40,3.97,40.0,3.97,Detected,1.0032694845648473
Event 09,BrWo,Giardia,90,4.74,90.0,4.74,Detected,1.2784641677652397
